SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE
XPO5,AMFR,0.13860430264994383,1.7732798977111718e-05
XPO5,AMMECR1L,-0.09377860243427964,0.003778627990286161
XPO5,AMN1,-0.09522210018037766,0.0032730807436687475
XPO5,AMOTL2,0.11936485577789599,0.0002231033174085448
XPO5,AMPD1,-0.10737713830021575,0.0009056295059406423
XPO5,ANAPC1,-0.2609266833023287,2.783913549242531e-16
XPO5,ANAPC10,-0.2225362719653987,3.798455734864644e-12
XPO5,ANAPC11,-0.2601056220787374,3.4726511083979806e-16
XPO5,ANAPC2,-0.12741650670289337,8.07087529778638e-05
XPO5,ANGPTL2,-0.10764083027350958,0.000879410077792261
XPO5,ANGPTL6,0.10728397868651575,0.0009150641715994982
XPO5,ANGPTL8,0.09410308149349754,0.003659181542700585
XPO5,ANHX,0.0885894741116437,0.0062347727464269805
XPO5,ANK1,-0.10726843608664913,0.0009166470593781106
XPO5,ANK3,-0.11860438155552738,0.0002448155595947137
XPO5,ANKFY1,0.09178021204523121,0.004595561552928637
XPO5,ANKH,0.11464652208038831,0.0003934986383184301
XPO5,ANKRD17,0.15410598844984824,1.777704798882537e-06
XPO5,ANKRD34A,0.08576806385572543,0.008103328239332545
XPO5,ANKRD42,0.09517720169324444,0.003287829322569495
XPO5,ANKRD49,0.1570954876381473,1.1102986338328047e-06
XPO5,ANKRD52,0.4091604297130811,1.0071323905242752e-39
XPO5,ANKRD54,0.09406031665349664,0.0036747254274477007
XPO5,ANKRD55,0.15197946780249516,2.4713701071941063e-06
XPO5,ANKRD7,-0.09108402117786696,0.004915688808279461
XPO5,ANKS1A,0.10095990902767454,0.0018149870555182143
XPO5,ANP32D,-0.1748349845889142,5.659861486062176e-08
XPO5,ANP32E,0.10629308031232168,0.0010212004033718287
XPO5,ANXA2R,0.13023048331219994,5.57551973421792e-05
XPO5,ANXA6,0.09328687500288312,0.003966394250909629
XPO5,ANXA8L1,0.09149709047203024,0.004723402292409816
XPO5,AOC2,0.08368703817946342,0.00978710524709389
XPO5,AOX1,-0.10107104291442301,0.001793843948430784
XPO5,AP1M2,0.08696334077771765,0.007257917463217877
XPO5,AP2A1,0.14061658376083003,1.333057946062648e-05
XPO5,AP2B1,0.09881261127163563,0.0022710983833094675
XPO5,AP2S1,0.12649647339521342,9.093472697876288e-05
XPO5,AP3B1,0.11773339812814414,0.0002721090025642072
XPO5,AP3B2,0.1182191130097101,0.0002565560217807206
XPO5,AP3D1,0.08401469805736801,0.009502891418640346
XPO5,AP3S2,0.09339079470513072,0.003926021668805048
XPO5,APBB1,-0.08645380436391167,0.007608139323627418
XPO5,APBB3,0.12485101972619266,0.0001123356728680664
XPO5,APC2,0.08612866216542496,0.007839452073520017
XPO5,APLNR,-0.0923097779312666,0.004364809560866857
XPO5,APOBEC2,0.19236238912765488,2.185099292260629e-09
XPO5,APOBEC3C,0.08696242070252566,0.007258536623037713
XPO5,APOC1,0.1299303530501689,5.80195797265291e-05
XPO5,APOF,-0.09510085579798534,0.003313046802881819
XPO5,APOLD1,0.11411793307910346,0.0004187810794925154
XPO5,APOM,0.08988715967879081,0.005513398641743988
XPO5,APRT,0.10032133533552935,0.0019409705223781505
XPO5,APTX,0.11496837521003568,0.0003788095566256912
XPO5,AQP10,0.08644774604249136,0.0076123928729332066
XPO5,ARC,0.09476748114548898,0.003425236037519378
XPO5,ARCN1,-0.1690073846103795,1.558041588708405e-07
